Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Bachelors,2016,Pune,2,28,Female,No,0,yes
Bachelors,2012,New Delhi,3,24,Male,No,2,no
Bachelors,2015,New Delhi,3,28,Male,No,1,no
Bachelors,2017,Bangalore,1,24,Male,No,2,no
Masters,2017,Pune,2,28,Female,No,4,no
Bachelors,2017,Pune,3,24,Male,No,2,no
Bachelors,2016,Bangalore,3,27,Female,No,5,no
Bachelors,2015,Pune,3,28,Male,No,2,no
Bachelors,2016,Bangalore,3,28,Female,No,5,no
Bachelors,2018,Bangalore,3,25,Male,No,3,yes
Bachelors,2015,Bangalore,3,28,Female,No,5,no
Bachelors,2014,Bangalore,3,27,Male,No,5,yes
Bachelors,2013,Bangalore,3,26,Male,No,4,no
Bachelors,2015,Bangalore,1,24,Male,No,2,no
Bachelors,2012,Bangalore,3,27,Female,No,5,no
Bachelors,2012,Bangalore,3,25,Male,No,3,yes
Bachelors,2015,Pune,3,28,Female,No,4,yes
Masters,2017,Bangalore,2,24,Female,Yes,2,yes
Bachelors,2014,Bangalore,3,28,Male,No,2,no
Masters,2017,Pune,2,24,Female,No,2,yes
Bachelors,2014,New Delhi,3,26,Female,No,4,yes
Bachelors,2015,Pune,2,28,Female,No,3,yes
Masters,2013,Pune,2,28,Male,No,5,yes
Bachelors,2013,New Delhi,1,28,Female,No,5,yes
Bachelors,2015,Pune,2,26,Female,Yes,4,yes
Masters,2015,New Delhi,3,28,Male,No,2,no
Bachelors,2013,Bangalore,3,27,Male,No,5,no
Bachelors,2018,Bangalore,3,28,Male,No,2,yes
Bachelors,2012,Pune,3,28,Male,No,2,no
Bachelors,2014,Pune,3,27,Female,No,5,yes
Masters,2018,New Delhi,3,24,Male,No,2,yes
Bachelors,2018,Bangalore,3,25,Male,Yes,3,yes
Bachelors,2017,New Delhi,2,25,Male,No,3,no
Bachelors,2014,Pune,3,24,Female,No,2,yes
Bachelors,2012,New Delhi,3,26,Female,No,4,no
Bachelors,2014,Pune,3,26,Male,No,4,no
Bachelors,2014,Bangalore,3,28,Male,No,4,no
Bachelors,2018,Bangalore,3,26,Male,Yes,4,yes
Bachelors,2013,Pune,2,26,Male,No,4,no
Bachelors,2013,Pune,2,25,Female,No,3,yes
Bachelors,2018,Pune,3,25,Male,Yes,3,yes
Bachelors,2013,Bangalore,3,25,Female,No,3,no
Bachelors,2014,Bangalore,3,28,Male,No,4,no
Masters,2017,New Delhi,3,24,Female,No,2,no
Masters,2017,Pune,2,27,Female,No,5,no
Bachelors,2012,Bangalore,3,24,Male,No,2,no
Bachelors,2017,Pune,3,27,Female,No,5,yes
Masters,2017,New Delhi,2,28,Male,No,4,no
Bachelors,2017,New Delhi,2,25,Male,No,3,no
Bachelors,2017,Pune,3,25,Male,Yes,3,yes
Masters,2017,Pune,2,24,Female,No,2,yes
Bachelors,2013,Pune,3,27,Male,Yes,5,yes
Bachelors,2016,Bangalore,3,26,Female,No,4,yes
Bachelors,2015,Pune,2,27,Female,No,5,yes
Bachelors,2014,Bangalore,3,27,Male,No,5,yes
Bachelors,2012,Bangalore,3,26,Male,No,4,no
Bachelors,2016,Pune,2,27,Female,No,5,yes
Masters,2017,Bangalore,2,28,Male,No,2,no
Masters,2017,New Delhi,3,24,Female,No,2,yes
Bachelors,2017,Pune,3,24,Male,No,2,no
Bachelors,2018,Bangalore,3,24,Male,No,2,yes
Masters,2017,New Delhi,2,28,Male,No,3,no
Bachelors,2015,Bangalore,3,26,Female,Yes,4,no
Bachelors,2018,Pune,3,26,Female,No,4,yes
Bachelors,2013,Bangalore,3,25,Male,Yes,3,no
Bachelors,2016,Bangalore,3,26,Male,No,4,no
Masters,2018,Pune,3,28,Male,No,2,yes
Bachelors,2016,Bangalore,3,26,Male,No,4,no
Bachelors,2017,Bangalore,3,27,Male,No,5,no
Bachelors,2012,Bangalore,3,27,Female,No,5,no
PHD,2016,New Delhi,3,27,Male,No,5,no
Bachelors,2017,New Delhi,2,25,Male,No,3,no
Bachelors,2015,New Delhi,3,28,Female,No,2,no
Bachelors,2013,Pune,2,26,Female,No,4,yes
Bachelors,2017,Bangalore,3,27,Female,No,5,no
Bachelors,2015,Pune,2,24,Female,No,2,yes
Bachelors,2017,Bangalore,3,27,Female,No,5,no
Bachelors,2016,Bangalore,3,25,Male,No,3,yes
Bachelors,2018,Bangalore,3,26,Male,No,4,yes
Bachelors,2015,Bangalore,3,27,Male,No,5,no
Bachelors,2014,Pune,3,24,Male,No,2,no
Bachelors,2012,Bangalore,3,27,Male,No,5,no
Bachelors,2013,Pune,3,27,Male,No,5,no
Bachelors,2015,Bangalore,1,25,Male,No,3,no
Masters,2017,New Delhi,2,25,Female,No,3,no
PHD,2015,Pune,3,28,Male,No,0,no
Bachelors,2015,Bangalore,3,28,Male,No,3,no
Bachelors,2016,Bangalore,3,28,Male,No,5,no
PHD,2013,New Delhi,3,24,Male,No,2,no
Bachelors,2014,Bangalore,3,26,Male,Yes,4,no
Bachelors,2015,Pune,2,26,Female,Yes,4,yes
Bachelors,2017,Bangalore,3,27,Male,Yes,5,no
Bachelors,2014,New Delhi,3,26,Male,No,4,no
Masters,2013,Bangalore,3,27,Male,No,5,yes
Bachelors,2016,Pune,3,24,Male,Yes,2,no
Bachelors,2016,Bangalore,3,26,Male,No,4,no
Bachelors,2013,Pune,2,28,Female,No,2,yes
Masters,2017,Bangalore,2,24,Male,No,2,yes
Masters,2017,New Delhi,2,24,Male,No,2,yes
Masters,2015,Pune,2,24,Female,No,2,yes
Bachelors,2014,Pune,3,26,Male,No,4,no
Bachelors,2016,Pune,2,27,Female,No,5,yes
Bachelors,2017,Bangalore,3,25,Male,No,3,no
Masters,2017,New Delhi,2,26,Female,No,4,no
Bachelors,2016,Bangalore,1,25,Female,No,3,no
PHD,2014,Bangalore,1,25,Female,No,3,no
Bachelors,2013,Bangalore,3,25,Female,No,3,no
Bachelors,2014,New Delhi,3,24,Male,No,2,no
Bachelors,2015,Pune,2,28,Female,Yes,2,yes
Bachelors,2014,New Delhi,3,28,Male,No,5,no
Bachelors,2015,Bangalore,3,26,Male,No,4,no
Bachelors,2014,Bangalore,3,25,Male,No,3,no
Bachelors,2018,Pune,3,26,Male,No,4,yes
Masters,2015,Pune,2,28,Female,No,2,no
Masters,2013,New Delhi,3,28,Male,No,2,yes
Bachelors,2014,Bangalore,3,25,Male,No,3,no
Masters,2015,New Delhi,2,26,Female,No,4,no
Bachelors,2016,New Delhi,3,27,Male,No,5,no
Bachelors,2014,Bangalore,3,24,Female,No,2,no
Masters,2017,Pune,3,24,Female,No,2,no
Bachelors,2014,Pune,3,25,Female,No,3,yes
Bachelors,2015,Pune,3,27,Female,No,5,yes
Bachelors,2017,New Delhi,2,28,Male,No,0,no
Bachelors,2017,New Delhi,3,25,Female,No,3,no
Bachelors,2012,Pune,3,24,Male,No,2,yes
Masters,2016,New Delhi,3,25,Male,No,3,yes
Bachelors,2015,Pune,2,26,Female,No,4,yes
Masters,2014,New Delhi,3,27,Male,No,5,no
Bachelors,2015,Bangalore,3,24,Female,No,2,yes
Bachelors,2014,New Delhi,3,25,Male,No,3,no
Bachelors,2017,Bangalore,3,24,Male,No,2,no
Bachelors,2017,New Delhi,3,24,Female,No,2,yes
Bachelors,2012,Bangalore,3,28,Male,No,1,no
Bachelors,2014,Bangalore,1,26,Male,No,4,no
Bachelors,2017,Bangalore,3,28,Male,Yes,3,no
Bachelors,2015,Pune,1,25,Female,No,3,yes
Bachelors,2015,Pune,2,24,Female,Yes,2,yes
Bachelors,2017,Pune,2,26,Male,No,4,no
Bachelors,2015,Bangalore,3,28,Male,No,0,no
Bachelors,2016,Bangalore,3,28,Male,No,2,no
Bachelors,2013,Pune,3,28,Female,Yes,3,yes
Bachelors,2017,Bangalore,3,27,Male,No,5,no
Masters,2015,New Delhi,3,25,Male,No,3,no
Bachelors,2012,New Delhi,3,28,Female,No,4,no
Bachelors,2012,Bangalore,3,26,Male,No,4,no
Bachelors,2012,Bangalore,3,25,Male,No,3,no
Masters,2017,New Delhi,3,25,Male,No,3,yes
Bachelors,2017,Bangalore,3,25,Male,No,3,no
Bachelors,2012,Bangalore,3,26,Female,No,4,no
Bachelors,2017,Bangalore,3,26,Female,No,4,no
Masters,2017,New Delhi,2,25,Male,Yes,3,yes
Bachelors,2015,Bangalore,3,25,Male,No,3,no
Bachelors,2013,Bangalore,3,26,Female,No,4,no
Bachelors,2017,Pune,3,25,Female,No,3,yes
Bachelors,2014,New Delhi,3,28,Female,Yes,2,no
Bachelors,2016,Bangalore,3,27,Female,No,5,no
Bachelors,2018,Bangalore,3,25,Male,No,3,yes
Bachelors,2012,Bangalore,3,27,Female,Yes,5,no
Bachelors,2017,New Delhi,3,27,Female,No,5,no
Bachelors,2016,Bangalore,2,25,Male,No,3,yes
Bachelors,2016,Bangalore,3,28,Female,No,4,no
Bachelors,2017,New Delhi,2,27,Male,No,5,no
Bachelors,2016,Bangalore,3,24,Female,No,2,no
Bachelors,2013,Bangalore,3,25,Male,No,3,no
Bachelors,2017,New Delhi,2,25,Female,No,3,no
Bachelors,2015,Pune,3,24,Male,No,2,no
Bachelors,2012,New Delhi,3,25,Female,No,3,no
PHD,2017,New Delhi,3,27,Female,No,5,no
Bachelors,2014,Bangalore,3,25,Female,No,3,yes
Masters,2017,Bangalore,3,28,Male,No,2,no
Bachelors,2016,Pune,3,25,Male,No,3,no
Bachelors,2014,Bangalore,3,25,Male,Yes,3,no
Bachelors,2012,New Delhi,3,27,Male,No,5,no
Bachelors,2012,Pune,3,25,Female,No,3,yes
Masters,2015,New Delhi,3,27,Female,No,5,no
Bachelors,2014,Bangalore,3,24,Male,No,2,no
Bachelors,2015,Pune,2,27,Female,No,5,yes
Bachelors,2014,Bangalore,3,25,Male,No,3,yes
Bachelors,2015,Bangalore,3,25,Male,No,3,no
Bachelors,2018,New Delhi,3,26,Female,No,4,yes
Bachelors,2017,Pune,2,26,Female,No,4,yes
Bachelors,2014,Pune,2,24,Female,No,2,yes
Bachelors,2013,Bangalore,3,27,Male,No,5,no
Bachelors,2017,New Delhi,2,27,Male,No,5,no
PHD,2012,New Delhi,3,28,Female,No,1,no
Masters,2012,New Delhi,3,26,Female,No,4,yes
Bachelors,2014,Bangalore,3,27,Male,No,5,no
Bachelors,2013,Bangalore,3,28,Female,No,0,yes
Bachelors,2014,Pune,3,26,Male,No,4,no
Bachelors,2016,Pune,2,24,Female,No,2,yes
Bachelors,2015,Bangalore,1,24,Female,No,2,yes
Bachelors,2012,Bangalore,3,26,Female,No,4,no
Masters,2014,Pune,3,27,Male,No,5,no
Masters,2017,New Delhi,2,27,Male,No,5,yes
Masters,2017,New Delhi,1,25,Female,No,3,no
Masters,2012,Pune,3,28,Male,No,0,yes
Masters,2012,New Delhi,3,28,Male,No,2,yes
Masters,2013,New Delhi,2,24,Male,No,2,yes
Bachelors,2015,Pune,3,25,Female,No,3,yes
Masters,2017,New Delhi,3,28,Male,No,5,no
Bachelors,2013,Bangalore,3,24,Male,No,2,no
Masters,2015,Bangalore,3,28,Male,No,1,yes
Bachelors,2018,Bangalore,3,27,Female,Yes,5,yes
Bachelors,2015,Bangalore,3,24,Male,No,2,yes
Bachelors,2014,Pune,3,26,Male,No,4,no
Bachelors,2013,New Delhi,3,25,Female,No,3,no
Bachelors,2013,Bangalore,3,26,Male,No,4,no
Bachelors,2018,New Delhi,3,28,Female,No,0,yes
Bachelors,2013,Bangalore,3,25,Female,No,3,no
PHD,2012,Pune,3,27,Male,No,5,no
Bachelors,2013,Bangalore,3,24,Male,No,2,no
Bachelors,2013,Bangalore,3,28,Female,No,3,no
Bachelors,2015,Pune,3,24,Male,No,2,no
Bachelors,2013,Pune,3,27,Male,No,5,no
Bachelors,2012,New Delhi,3,27,Male,No,5,no
Bachelors,2018,Bangalore,3,26,Female,Yes,4,yes
Bachelors,2013,Bangalore,3,26,Male,No,4,no
Bachelors,2015,Pune,2,24,Female,No,2,yes
Bachelors,2016,Bangalore,3,24,Male,No,2,no
PHD,2018,Bangalore,3,27,Female,No,5,yes
Bachelors,2015,Bangalore,3,26,Male,No,4,no
Bachelors,2015,New Delhi,1,26,Female,No,4,yes
Bachelors,2015,Pune,2,24,Female,No,2,yes
Bachelors,2013,Pune,3,27,Male,No,5,no
PHD,2016,New Delhi,3,24,Female,No,2,no
Bachelors,2013,Bangalore,3,26,Male,No,4,no
Bachelors,2015,Bangalore,3,28,Male,No,5,no
Bachelors,2015,Bangalore,3,26,Female,No,4,no
Bachelors,2016,Bangalore,3,27,Female,No,5,no
Bachelors,2017,Pune,3,25,Female,No,3,yes
Masters,2017,New Delhi,2,26,Male,No,4,yes
Bachelors,2012,Bangalore,3,27,Male,No,5,no
Bachelors,2014,Bangalore,3,26,Female,No,4,yes
Bachelors,2015,Pune,2,25,Female,No,3,yes
Bachelors,2013,Bangalore,3,26,Male,No,4,no
Bachelors,2017,Pune,2,28,Male,No,1,yes
Bachelors,2014,Bangalore,3,25,Male,No,3,no
Bachelors,2013,Bangalore,3,27,Male,No,5,no
PHD,2013,Bangalore,3,26,Male,No,4,no
Bachelors,2013,New Delhi,3,25,Female,Yes,3,yes
Bachelors,2017,Bangalore,1,28,Female,No,3,no
Bachelors,2014,Bangalore,3,26,Male,No,4,no
Bachelors,2015,New Delhi,3,27,Male,No,5,no
Masters,2013,Pune,2,28,Male,No,2,yes
Bachelors,2013,New Delhi,3,25,Female,Yes,3,yes
Masters,2017,New Delhi,2,26,Male,No,4,no
Masters,2016,New Delhi,3,25,Male,No,3,no
Bachelors,2017,Bangalore,3,28,Female,Yes,5,no
Masters,2017,New Delhi,2,28,Female,No,2,no
Bachelors,2012,Bangalore,1,27,Male,No,5,yes
Bachelors,2018,Bangalore,3,27,Male,No,5,yes
Bachelors,2016,Bangalore,3,24,Female,No,2,no
Bachelors,2017,Pune,3,26,Male,No,4,no
Bachelors,2017,New Delhi,3,25,Female,No,3,no
Bachelors,2015,Pune,3,28,Female,Yes,5,yes
Bachelors,2015,Bangalore,3,26,Male,No,4,yes
Masters,2015,Pune,2,26,Female,Yes,4,yes
Masters,2015,Pune,3,25,Male,No,3,yes
Bachelors,2016,Pune,3,27,Female,No,5,yes
Bachelors,2013,Bangalore,3,25,Male,No,3,no
Bachelors,2018,Pune,3,26,Male,Yes,4,yes
Bachelors,2014,Bangalore,3,27,Female,No,5,no
Bachelors,2017,Bangalore,1,25,Male,No,3,no
Bachelors,2015,New Delhi,3,26,Male,No,4,no
Bachelors,2015,Pune,3,24,Female,No,2,yes
Bachelors,2015,Bangalore,3,28,Male,No,2,no
Bachelors,2014,Pune,2,26,Female,No,4,yes
Bachelors,2017,Bangalore,3,27,Male,No,5,yes
Bachelors,2014,Bangalore,3,26,Male,No,4,no
Bachelors,2018,New Delhi,3,28,Female,No,5,yes
Bachelors,2015,Bangalore,3,28,Male,No,0,yes
Bachelors,2016,New Delhi,3,28,Female,No,3,no
Bachelors,2017,Bangalore,3,25,Male,No,3,no
Bachelors,2015,Pune,3,24,Female,No,2,yes
Masters,2018,New Delhi,3,28,Male,No,2,yes
Bachelors,2015,Bangalore,3,27,Female,No,5,no
Bachelors,2017,Bangalore,3,24,Male,No,2,yes
Bachelors,2017,New Delhi,2,28,Female,No,0,no
Bachelors,2015,Bangalore,3,25,Male,No,3,no
Bachelors,2012,Bangalore,3,28,Male,No,2,no
Bachelors,2013,Bangalore,3,26,Male,No,4,no
Bachelors,2016,Bangalore,1,24,Male,No,2,no
Bachelors,2016,Pune,3,27,Male,No,5,no
Bachelors,2013,Pune,3,24,Male,No,2,no
Masters,2017,Pune,2,26,Female,No,4,yes
Bachelors,2017,New Delhi,3,26,Male,No,4,no
Bachelors,2018,Pune,3,25,Female,No,3,yes
Bachelors,2018,Bangalore,3,24,Male,No,2,yes
Bachelors,2015,Pune,3,24,Male,Yes,2,no
Bachelors,2013,Bangalore,3,24,Female,No,2,yes
Bachelors,2013,Pune,2,28,Male,Yes,0,yes
Bachelors,2018,Bangalore,3,24,Male,No,2,yes
Bachelors,2014,Bangalore,3,24,Male,No,2,no
Bachelors,2016,Bangalore,3,28,Female,No,5,no
Bachelors,2014,Bangalore,3,25,Male,No,3,no
Bachelors,2014,Bangalore,3,26,Female,No,4,no
Masters,2017,Bangalore,2,28,Male,No,2,no
Bachelors,2012,Bangalore,3,27,Male,No,5,no
Bachelors,2016,Bangalore,3,27,Female,No,5,no
Masters,2018,Bangalore,3,28,Male,No,2,yes
Bachelors,2017,Bangalore,3,24,Male,No,2,no
Bachelors,2012,Pune,3,24,Male,No,2,no
Bachelors,2016,New Delhi,3,28,Male,No,0,no
Bachelors,2012,Bangalore,3,27,Male,No,5,no
Bachelors,2014,Bangalore,3,27,Male,No,5,no
Bachelors,2017,Bangalore,3,24,Male,No,2,yes
Bachelors,2012,Bangalore,1,27,Male,No,5,no
Bachelors,2017,Bangalore,3,28,Female,No,5,no
Bachelors,2014,Pune,3,25,Male,No,3,no
Bachelors,2015,Pune,3,25,Male,No,3,no
Bachelors,2017,Pune,2,28,Male,No,0,yes
Bachelors,2015,Pune,2,26,Female,No,4,yes
Bachelors,2015,Pune,2,27,Female,No,5,yes
Bachelors,2015,Pune,3,26,Female,No,4,yes
Bachelors,2015,Bangalore,2,28,Female,No,3,yes
Bachelors,2012,Pune,3,25,Male,No,3,no
Bachelors,2013,Bangalore,3,25,Male,Yes,3,yes
Bachelors,2016,New Delhi,3,26,Male,No,4,no
PHD,2018,New Delhi,3,24,Female,No,2,yes
Bachelors,2014,Bangalore,3,27,Female,No,5,no
Masters,2017,New Delhi,2,26,Male,Yes,4,yes
Bachelors,2015,Pune,2,27,Female,No,5,yes
Bachelors,2014,Bangalore,3,24,Male,No,2,no
Masters,2017,Pune,2,25,Female,No,3,no
Bachelors,2017,New Delhi,3,28,Female,No,2,no
Bachelors,2014,Bangalore,3,27,Male,Yes,5,no
Bachelors,2012,Bangalore,3,24,Male,No,2,no
Bachelors,2018,Pune,3,24,Male,No,2,yes
Bachelors,2015,Bangalore,3,27,Female,Yes,5,yes
Bachelors,2015,New Delhi,3,28,Female,No,3,no
Bachelors,2015,Pune,3,27,Female,No,5,yes
Bachelors,2015,Bangalore,3,28,Male,No,5,no
Bachelors,2015,New Delhi,2,27,Female,Yes,5,yes
Bachelors,2016,Bangalore,3,27,Male,No,5,no
Masters,2017,New Delhi,3,27,Female,No,5,yes
Bachelors,2017,Pune,2,26,Female,No,4,yes
Bachelors,2015,Pune,3,27,Female,No,5,yes
Bachelors,2018,Pune,3,27,Female,No,5,yes
Bachelors,2012,Bangalore,3,25,Male,No,3,no
Bachelors,2017,Bangalore,3,25,Male,No,3,no
PHD,2013,New Delhi,3,27,Female,No,5,yes
Bachelors,2016,Bangalore,3,28,Male,No,2,no
Bachelors,2012,Bangalore,3,25,Female,Yes,3,no
Bachelors,2015,Bangalore,3,27,Male,No,5,no
Bachelors,2016,Pune,2,24,Female,No,2,yes
Bachelors,2016,Bangalore,3,26,Male,No,4,yes
Bachelors,2014,Pune,3,27,Male,Yes,5,no
Bachelors,2013,Bangalore,3,24,Male,Yes,2,no
Bachelors,2017,Bangalore,3,25,Male,No,3,yes
Bachelors,2017,Pune,2,24,Female,No,2,yes
Bachelors,2013,Bangalore,3,27,Male,No,5,no
Masters,2013,Bangalore,3,26,Female,No,4,yes
Bachelors,2012,Pune,3,25,Female,No,3,yes
Bachelors,2015,New Delhi,3,28,Female,No,2,no
Masters,2017,New Delhi,2,24,Female,No,2,no
Masters,2013,New Delhi,3,26,Male,No,4,yes
Bachelors,2014,Bangalore,3,26,Male,No,4,no
PHD,2016,New Delhi,3,24,Female,No,2,no
Bachelors,2017,New Delhi,3,26,Male,No,4,no
Bachelors,2016,Bangalore,3,26,Male,No,4,no
Bachelors,2014,Bangalore,3,27,Male,No,5,no
Bachelors,2017,New Delhi,3,28,Female,No,0,no
PHD,2016,New Delhi,3,27,Female,No,5,no
Masters,2014,Bangalore,3,28,Female,No,4,yes
Bachelors,2014,Bangalore,3,28,Female,No,2,no
Bachelors,2017,Bangalore,3,24,Female,No,2,no
Masters,2015,New Delhi,3,28,Male,No,0,no
Bachelors,2015,Pune,2,25,Female,No,3,yes
Masters,2017,Pune,2,27,Male,No,5,yes
Bachelors,2014,Pune,2,25,Female,No,3,yes
Bachelors,2015,Pune,2,28,Female,Yes,2,yes
Bachelors,2013,Pune,3,25,Male,No,3,no
Bachelors,2013,Pune,1,26,Female,No,4,yes
Bachelors,2012,Pune,2,27,Female,No,5,yes
Masters,2017,New Delhi,3,28,Male,No,0,no
Bachelors,2012,Bangalore,3,28,Female,No,1,no
Bachelors,2015,Pune,2,25,Female,Yes,3,yes
Bachelors,2015,Bangalore,3,26,Male,No,4,no
Bachelors,2015,Bangalore,3,24,Female,No,2,no
Bachelors,2018,New Delhi,3,24,Female,No,2,yes
Bachelors,2017,New Delhi,3,27,Female,Yes,5,no
PHD,2012,Pune,3,27,Male,No,5,no
Bachelors,2012,Bangalore,3,26,Male,No,4,no
Bachelors,2013,Bangalore,3,25,Male,No,3,yes
Bachelors,2015,New Delhi,3,24,Female,No,2,no
Bachelors,2013,Pune,3,24,Female,No,2,no
Bachelors,2016,Pune,3,24,Male,No,2,no
Bachelors,2018,Pune,3,24,Male,Yes,2,yes
Bachelors,2015,Bangalore,3,27,Female,Yes,5,yes
Bachelors,2018,Bangalore,3,26,Male,No,4,yes
Bachelors,2012,Pune,3,24,Female,No,2,yes
Masters,2017,New Delhi,3,27,Male,No,5,yes
Bachelors,2012,Bangalore,3,26,Male,No,4,no
Bachelors,2013,Bangalore,3,27,Male,No,5,no
Bachelors,2015,New Delhi,3,25,Female,No,3,no
Bachelors,2018,Bangalore,3,24,Female,No,2,yes
Bachelors,2014,Bangalore,3,28,Male,No,4,no
Bachelors,2013,Pune,1,26,Female,No,4,yes
Bachelors,2015,Bangalore,3,27,Male,No,5,no
Bachelors,2013,Bangalore,3,24,Male,No,2,no
Bachelors,2016,Bangalore,3,26,Male,No,4,yes
Bachelors,2013,Bangalore,3,25,Female,No,3,yes
Bachelors,2016,Bangalore,3,27,Male,Yes,5,no
Bachelors,2017,Pune,3,26,Male,No,4,no
Bachelors,2018,Pune,2,28,Female,No,5,yes
Masters,2017,Pune,2,27,Male,No,5,no
Bachelors,2013,Bangalore,3,25,Female,No,3,no
Bachelors,2017,Bangalore,3,24,Male,No,2,no
Bachelors,2017,New Delhi,2,25,Female,No,3,no
Bachelors,2018,Pune,3,27,Female,No,5,yes
Bachelors,2016,Pune,3,27,Male,No,5,no
Bachelors,2013,Bangalore,1,24,Male,No,2,no
Bachelors,2012,Bangalore,1,28,Male,No,3,no
Bachelors,2016,Pune,2,28,Female,No,3,yes
Bachelors,2016,Pune,3,24,Male,No,2,no
Bachelors,2017,Bangalore,3,28,Male,No,3,no
Bachelors,2017,Pune,2,28,Male,No,3,no
Bachelors,2017,Bangalore,3,25,Female,No,3,yes
Bachelors,2015,Bangalore,3,25,Male,No,3,no
Masters,2013,New Delhi,3,25,Male,No,3,yes
Bachelors,2017,Bangalore,3,24,Male,No,2,no
Bachelors,2013,Pune,3,27,Male,No,5,no
Bachelors,2013,Pune,2,24,Female,No,2,yes
Bachelors,2017,Bangalore,3,28,Male,No,1,yes
Bachelors,2012,Bangalore,3,25,Male,No,3,no
Bachelors,2014,Pune,3,26,Male,No,4,no
Bachelors,2015,Pune,1,24,Female,No,2,yes
Masters,2013,New Delhi,3,24,Female,Yes,2,yes
Bachelors,2014,Bangalore,3,25,Male,No,3,no
Bachelors,2017,New Delhi,2,26,Male,No,4,no
Bachelors,2014,Bangalore,3,25,Male,No,3,no
Masters,2013,New Delhi,3,25,Male,No,3,yes
Bachelors,2014,Bangalore,3,24,Male,No,2,no
Bachelors,2014,Pune,2,28,Female,No,3,yes
Masters,2015,New Delhi,3,28,Male,No,2,no
Bachelors,2015,Bangalore,3,28,Male,No,5,no
Bachelors,2017,Bangalore,3,24,Male,No,2,no
Bachelors,2014,Pune,3,27,Male,No,5,no
Bachelors,2015,Pune,2,28,Female,No,5,yes
Masters,2017,New Delhi,2,26,Female,No,4,yes
Bachelors,2016,New Delhi,3,26,Female,No,4,no
Bachelors,2016,Bangalore,3,26,Female,No,4,no
Bachelors,2013,New Delhi,3,27,Female,No,5,no
Bachelors,2014,Bangalore,3,28,Male,No,3,no
Bachelors,2017,New Delhi,3,25,Male,No,3,no
Bachelors,2015,Bangalore,1,27,Male,No,5,no
Bachelors,2013,Bangalore,3,26,Male,No,4,no
Bachelors,2014,Bangalore,3,24,Female,No,2,no
Bachelors,2014,Pune,2,26,Male,No,4,no
Bachelors,2013,Bangalore,3,24,Male,No,2,yes
Bachelors,2012,Bangalore,3,25,Male,No,3,no
Bachelors,2012,Bangalore,3,27,Male,Yes,5,no
Bachelors,2012,Bangalore,3,28,Male,No,1,no
Masters,2017,New Delhi,2,25,Female,No,3,yes
Bachelors,2014,Bangalore,3,25,Male,No,3,no
Bachelors,2016,Pune,2,27,Female,No,5,yes
Bachelors,2017,Pune,3,28,Male,No,3,no
Masters,2017,New Delhi,3,28,Male,No,2,no
PHD,2018,Pune,3,26,Male,No,4,yes
Masters,2017,New Delhi,2,24,Male,No,2,yes
Bachelors,2014,Bangalore,3,28,Male,No,0,no
Masters,2015,Pune,3,26,Female,No,4,no
Bachelors,2016,Bangalore,3,27,Male,No,5,yes
Bachelors,2016,New Delhi,3,28,Female,No,4,no
Bachelors,2012,Pune,3,26,Male,No,4,no
Masters,2015,Bangalore,2,27,Female,No,5,yes
Masters,2017,Pune,1,28,Male,No,0,no
Masters,2015,New Delhi,3,28,Female,No,2,no
Bachelors,2017,Bangalore,3,26,Male,No,4,yes
Bachelors,2017,Pune,3,28,Female,No,4,yes
Bachelors,2015,Pune,3,25,Male,No,3,no
Masters,2017,New Delhi,2,27,Female,No,5,no
Masters,2015,Pune,2,27,Female,No,5,no
Bachelors,2015,Bangalore,3,25,Male,No,3,yes
Bachelors,2013,Bangalore,3,28,Female,No,1,no
Bachelors,2015,Pune,3,25,Female,No,3,yes
Bachelors,2012,Bangalore,3,28,Female,No,2,yes
Bachelors,2016,Pune,3,27,Female,No,5,yes
Bachelors,2016,Bangalore,3,26,Male,No,4,no
PHD,2018,New Delhi,3,26,Male,No,4,yes
Bachelors,2017,Bangalore,3,27,Male,No,5,no
Bachelors,2018,Pune,3,28,Male,No,2,yes
Bachelors,2013,Bangalore,3,24,Male,No,2,no
Bachelors,2013,New Delhi,3,26,Male,No,4,no
Bachelors,2013,Bangalore,3,28,Male,Yes,1,no
Masters,2017,New Delhi,2,28,Female,No,2,no
Bachelors,2016,Bangalore,1,24,Male,No,2,no
Bachelors,2017,Bangalore,3,27,Male,No,5,no
Bachelors,2014,Pune,2,27,Female,No,5,yes
Bachelors,2017,Bangalore,3,27,Male,No,5,no
Bachelors,2017,New Delhi,3,27,Male,No,5,no
Masters,2018,New Delhi,3,24,Male,No,2,yes
Bachelors,2016,Bangalore,3,26,Male,No,4,yes
Bachelors,2017,Bangalore,3,28,Male,Yes,3,no
Bachelors,2017,New Delhi,3,26,Female,No,4,no
Bachelors,2016,Pune,3,28,Male,No,3,no
Bachelors,2015,New Delhi,3,26,Male,No,4,no
Bachelors,2014,Bangalore,3,26,Male,No,4,yes
Bachelors,2017,Pune,2,24,Female,No,2,yes
Bachelors,2016,Bangalore,3,26,Male,No,4,yes
PHD,2016,New Delhi,1,26,Male,No,4,no
Bachelors,2018,Bangalore,3,24,Female,No,2,yes
Bachelors,2017,Bangalore,2,28,Female,No,1,no
Bachelors,2013,Bangalore,3,24,Female,No,2,no
Masters,2014,New Delhi,3,25,Female,No,3,no
